,Image Name,Prediction,Waste Type
268,12.841837-80.155035_58.jpg,7,Plastic
269,12.843405-80.154573_101.jpg,5,Other Plastics
270,12.843405-80.154573_84.jpg,5,Other Plastics
271,12.843405-80.154573_163.jpg,6,Paper and Cardboard
272,12.841837-80.155035_62.jpg,7,Plastic
273,12.843405-80.154573_218.jpg,6,Paper and Cardboard
274,12.843405-80.154573_41.jpg,2,Carton
275,12.843405-80.154573_104.jpg,5,Other Plastics
276,12.843405-80.154573_42.jpg,6,Paper and Cardboard
277,12.843405-80.154573_147.jpg,6,Paper and Cardboard
278,12.841837-80.155035_1.jpg,7,Plastic
279,12.843405-80.154573_1.jpg,6,Paper and Cardboard
280,12.843405-80.154573_202.jpg,6,Paper and Cardboard
281,12.843405-80.154573_9.jpg,6,Paper and Cardboard
282,12.841837-80.155035_16.jpg,7,Plastic
283,12.843405-80.154573_200.jpg,6,Paper and Cardboard
284,12.841837-80.155035_21.jpg,7,Plastic
285,12.843405-80.154573_176.jpg,6,Paper and Cardboard
286,12.843405-80.154573_145.jpg,6,Paper and Cardboard
287,12.843405-80.154573_155.jpg,6,Paper and Cardboard
288,12.843405-80.154573_69.jpg,5,Other Plastics
289,12.843405-80.154573_215.jpg,6,Paper and Cardboard
290,12.843405-80.154573_88.jpg,5,Other Plastics
291,12.843405-80.154573_108.jpg,5,Other Plastics
292,12.841837-80.155035_24.jpg,7,Plastic
293,12.843405-80.154573_207.jpg,5,Other Plastics
294,12.841837-80.155035_52.jpg,7,Plastic
295,12.843405-80.154573_116.jpg,6,Paper and Cardboard
296,12.843405-80.154573_71.jpg,5,Other Plastics
297,12.841837-80.155035_18.jpg,7,Plastic
298,12.841837-80.155035_4.jpg,7,Plastic
299,12.843405-80.154573_83.jpg,5,Other Plastics
300,12.841837-80.155035_3.jpg,7,Plastic
301,12.843405-80.154573_19.jpg,6,Paper and Cardboard
302,12.841837-80.155035_78.jpg,7,Plastic
303,12.841837-80.155035_35.jpg,7,Plastic
304,12.843405-80.154573_217.jpg,5,Other Plastics
305,12.841837-80.155035_89.jpg,7,Plastic
306,12.843405-80.154573_127.jpg,6,Paper and Cardboard
307,12.841837-80.155035_70.jpg,7,Plastic
308,12.843405-80.154573_89.jpg,5,Other Plastics
309,12.843405-80.154573_204.jpg,6,Paper and Cardboard
310,12.843405-80.154573_70.jpg,5,Other Plastics
311,12.843405-80.154573_173.jpg,6,Paper and Cardboard
312,12.843405-80.154573_146.jpg,6,Paper and Cardboard
313,12.843405-80.154573_153.jpg,6,Paper and Cardboard
314,12.843405-80.154573_29.jpg,6,Paper and Cardboard
315,12.843405-80.154573_73.jpg,5,Other Plastics
316,12.843405-80.154573_216.jpg,6,Paper and Cardboard
317,12.843405-80.154573_97.jpg,5,Other Plastics
318,12.843405-80.154573_224.jpg,4,Organic Waste
319,12.843405-80.154573_223.jpg,6,Paper and Cardboard
320,12.843405-80.154573_113.jpg,5,Other Plastics
321,12.841837-80.155035_93.jpg,7,Plastic
322,12.843405-80.154573_117.jpg,6,Paper and Cardboard
